,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
73,Sofiane Boufal,7,1,0.0,0.0,99.0,133.0,74.4,11.0,3.0,5,9.0,2,13.0,1.0,0.0,200.0,14.0,27.0,51.9,11,14,2,7,2,5,0.0,0.0,0,3.0,7.0,FW,28.0,1.fr Angers,7,7,475.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
74,Yassine Bounou,0,0,,,154.0,209.0,73.7,0.0,0.0,0,0.0,0,0.0,5.0,0.0,218.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,GK,31.0,1.es Sevilla,6,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
75,Azzedine Ounahi,6,1,0.0,0.0,216.0,265.0,81.5,9.0,7.0,8,5.0,7,16.0,2.0,0.0,330.0,10.0,13.0,76.9,3,13,1,3,7,8,0.0,0.0,0,1.0,3.0,MF,22.0,1.fr Angers,7,6,568.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
76,Romain Saïss,1,1,1.0,1.0,159.0,199.0,79.9,5.0,2.0,2,3.0,3,8.0,30.0,1.0,247.0,1.0,2.0,50.0,4,0,2,1,3,2,0.0,0.0,0,7.0,0.0,DF,32.0,1.tr Beşiktaş,6,6,466.0,5.2,1.0,0.19,0.0,0.0,1.0,0.19,0.0,1.0,0.0,Morocco
77,Noussair Mazraoui,4,2,0.0,0.0,98.0,121.0,81.0,14.0,8.0,9,6.0,1,15.0,16.0,0.0,176.0,1.0,5.0,20.0,3,1,1,2,1,9,0.0,0.0,0,1.0,3.0,DF,24.0,1.de Bayern Munich,5,5,365.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
78,Selim Amallah,2,0,0.0,,65.0,87.0,74.7,13.0,6.0,9,6.0,8,21.0,3.0,0.0,147.0,1.0,7.0,14.3,11,8,0,2,8,9,0.0,0.0,0,2.0,9.0,MF,25.0,1.be Standard Liège,7,4,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Morocco
79,Nayef Aguerd,1,0,0.0,,137.0,158.0,86.7,4.0,2.0,2,3.0,4,8.0,12.0,0.0,184.0,0.0,0.0,,2,0,1,0,4,2,0.0,0.0,1,5.0,2.0,DF,26.0,1.eng West Ham,4,4,353.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
80,Jawad El Yamiq,2,1,0.0,0.0,146.0,164.0,89.0,4.0,3.0,2,6.0,5,9.0,17.0,0.0,202.0,0.0,0.0,,1,4,0,0,5,2,0.0,0.0,0,6.0,1.0,DF,30.0,1.es Valladolid,6,3,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
81,Yahya Attiat Allah,2,0,0.0,,98.0,137.0,71.5,4.0,3.0,2,4.0,0,4.0,15.0,0.0,169.0,0.0,2.0,0.0,8,3,0,8,0,2,0.0,0.0,0,0.0,7.0,DF,27.0,1.ma Wydad Casablanca,6,2,318.0,3.5,0.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,0.0,Morocco
82,Achraf Dari,1,1,1.0,1.0,99.0,111.0,89.2,1.0,1.0,0,7.0,5,6.0,9.0,0.0,139.0,0.0,0.0,,2,1,0,0,5,0,0.0,0.0,0,5.0,5.0,DF,23.0,1.fr Brest,3,2,187.0,2.1,1.0,0.48,0.0,0.0,1.0,0.48,0.0,1.0,0.0,Morocco
83,Abdelhamid Sabiri,3,0,0.0,,45.0,58.0,77.6,3.0,2.0,1,3.0,5,8.0,3.0,0.0,86.0,0.0,3.0,0.0,2,3,0,1,5,1,0.0,0.0,0,2.0,2.0,MF,25.0,1.it Sampdoria,5,2,181.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,Morocco
84,Munir,0,0,,,19.0,28.0,67.9,0.0,0.0,0,0.0,0,0.0,0.0,0.0,31.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,GK,33.0,1.sa Al-Wehda,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
85,Bilal El Khannous,0,0,,,20.0,24.0,83.3,0.0,0.0,0,1.0,0,0.0,2.0,0.0,29.0,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,1.0,MF,18.0,1.be Genk,1,1,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
86,Abdessamad Ezzalzouli,1,0,0.0,,10.0,13.0,76.9,3.0,1.0,2,4.0,0,3.0,3.0,0.0,40.0,1.0,2.0,50.0,4,0,0,1,0,2,0.0,0.0,0,1.0,2.0,"FW,MF",20.0,1.es Osasuna,3,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
87,Zakaria Aboukhlal,3,2,0.33,0.5,7.0,14.0,50.0,1.0,0.0,1,2.0,1,2.0,1.0,0.0,26.0,0.0,1.0,0.0,1,0,2,1,1,1,0.0,0.0,0,2.0,0.0,"FW,MF",22.0,1.fr Toulouse,4,0,79.0,0.9,1.0,1.14,0.0,0.0,1.0,1.14,0.0,0.0,0.0,Morocco
88,Abderrazak Hamdallah,2,1,0.0,0.0,8.0,15.0,53.3,0.0,0.0,0,0.0,0,0.0,2.0,0.0,27.0,2.0,3.0,66.7,3,2,0,0,0,0,0.0,0.0,0,1.0,7.0,FW,31.0,1.sa Al-Ittihad,4,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
89,Walid Cheddira,2,1,0.0,0.0,4.0,8.0,50.0,1.0,0.0,0,0.0,0,1.0,2.0,0.0,19.0,0.0,1.0,0.0,5,0,2,0,0,0,0.0,0.0,0,2.0,2.0,FW,24.0,2.it Bari,2,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Morocco
90,Badr Banoun,0,0,,,21.0,22.0,95.5,0.0,0.0,0,1.0,1,1.0,3.0,0.0,28.0,0.0,0.0,,2,0,0,0,1,0,0.0,0.0,0,0.0,1.0,DF,28.0,1.qa Qatar SC,3,0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
91,Ilias Chair,0,0,,,13.0,15.0,86.7,1.0,0.0,0,0.0,0,1.0,0.0,0.0,18.0,0.0,1.0,0.0,0,0,0,2,0,0,0.0,0.0,0,0.0,0.0,MF,24.0,2.eng QPR,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
92,Anass Zaroury,0,0,,,8.0,13.0,61.5,0.0,0.0,0,2.0,0,0.0,0.0,0.0,15.0,1.0,1.0,100.0,0,0,1,3,0,0,0.0,0.0,0,0.0,0.0,FW,21.0,2.eng Burnley,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
93,Yahya Jabrane,0,0,,,,,,,,0,,0,,,,,,,,0,0,0,0,0,0,,,0,,,MF,30.0,1.ma Wydad Casablanca,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Morocco
94,Andries Noppert,0,0,,,157.0,192.0,81.8,0.0,0.0,0,0.0,0,0.0,4.0,0.0,206.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28.0,1.nl Heerenveen,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
95,Virgil van Dijk,3,0,0.0,,311.0,356.0,87.4,2.0,1.0,1,8.0,4,6.0,21.0,0.0,399.0,0.0,0.0,,5,2,0,0,4,1,0.0,0.0,0,13.0,8.0,DF,30.0,1.eng Liverpool,5,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
96,Nathan Aké,0,0,,,315.0,349.0,90.3,6.0,3.0,3,3.0,8,14.0,20.0,0.0,393.0,0.0,2.0,0.0,4,6,0,0,8,3,0.0,0.0,0,10.0,12.0,DF,27.0,1.eng Manchester City,5,5,479.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
97,Denzel Dumfries,1,1,1.0,1.0,149.0,217.0,68.7,8.0,5.0,5,5.0,7,15.0,6.0,0.0,281.0,0.0,8.0,0.0,17,7,2,8,7,5,0.0,1.0,0,9.0,10.0,DF,26.0,1.it Inter,5,5,479.0,5.3,1.0,0.19,2.0,0.38,1.0,0.19,0.0,2.0,1.0,Netherlands
98,Frenkie de Jong,2,1,0.5,1.0,323.0,364.0,88.7,12.0,1.0,5,6.0,6,18.0,3.0,0.0,412.0,3.0,6.0,50.0,4,6,0,3,6,5,0.0,0.0,0,8.0,1.0,MF,25.0,1.es Barcelona,5,5,475.0,5.3,1.0,0.19,1.0,0.19,1.0,0.19,0.0,1.0,0.0,Netherlands
99,Cody Gakpo,5,3,0.6,1.0,93.0,148.0,62.8,8.0,3.0,2,10.0,3,11.0,6.0,0.0,212.0,5.0,13.0,38.5,8,5,3,33,3,2,0.0,0.0,0,5.0,5.0,"FW,MF",23.0,1.nl PSV Eindhoven,5,5,450.0,5.0,3.0,0.6,0.0,0.0,3.0,0.6,0.0,0.0,0.0,Netherlands
100,Daley Blind,5,2,0.2,0.5,252.0,300.0,84.0,14.0,6.0,9,6.0,5,19.0,4.0,0.0,341.0,1.0,2.0,50.0,3,1,0,6,5,9,0.0,0.0,0,5.0,7.0,DF,32.0,1.nl Ajax,5,5,423.0,4.7,1.0,0.21,1.0,0.21,1.0,0.21,0.0,0.0,0.0,Netherlands
101,Jurriën Timber,0,0,,,283.0,313.0,90.4,12.0,6.0,6,1.0,10,22.0,13.0,0.0,360.0,4.0,6.0,66.7,17,4,0,1,10,6,0.0,0.0,0,4.0,3.0,DF,20.0,1.nl Ajax,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
102,Memphis,10,5,0.1,0.2,93.0,123.0,75.6,1.0,1.0,1,4.0,1,2.0,0.0,1.0,167.0,2.0,11.0,18.2,1,5,1,2,1,1,0.0,0.0,0,2.0,6.0,FW,28.0,1.es Barcelona,5,3,297.0,3.3,1.0,0.3,0.0,0.0,1.0,0.3,0.0,1.0,0.0,Netherlands
103,Steven Bergwijn,2,0,0.0,,64.0,72.0,88.9,1.0,0.0,1,2.0,0,1.0,0.0,0.0,86.0,1.0,4.0,25.0,2,4,0,0,0,1,0.0,0.0,0,0.0,0.0,FW,24.0,1.nl Ajax,4,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
104,Davy Klaassen,2,1,0.5,1.0,59.0,77.0,76.6,3.0,1.0,2,2.0,1,4.0,2.0,0.0,96.0,0.0,1.0,0.0,1,3,0,2,1,2,0.0,0.0,0,2.0,2.0,"MF,FW",29.0,1.nl Ajax,4,3,190.0,2.1,1.0,0.47,2.0,0.95,1.0,0.47,0.0,0.0,0.0,Netherlands
105,Marten de Roon,0,0,,,97.0,119.0,81.5,7.0,1.0,5,4.0,2,9.0,6.0,0.0,143.0,0.0,0.0,,3,0,0,0,2,5,0.0,0.0,0,4.0,3.0,MF,31.0,1.it Atalanta,5,3,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
106,Teun Koopmeiners,2,1,0.0,0.0,90.0,119.0,75.6,10.0,5.0,5,2.0,4,14.0,4.0,0.0,147.0,1.0,2.0,50.0,6,1,0,2,4,5,0.0,0.0,0,4.0,3.0,MF,24.0,1.it Atalanta,5,1,219.0,2.4,0.0,0.0,1.0,0.41,0.0,0.0,0.0,1.0,0.0,Netherlands
107,Steven Berghuis,5,0,0.0,,97.0,131.0,74.0,2.0,1.0,1,1.0,0,2.0,0.0,0.0,145.0,1.0,4.0,25.0,4,0,0,13,0,1,0.0,0.0,0,1.0,2.0,MF,30.0,1.nl Ajax,4,1,200.0,2.2,0.0,0.0,1.0,0.45,0.0,0.0,0.0,1.0,0.0,Netherlands
108,Matthijs de Ligt,0,0,,,41.0,45.0,91.1,0.0,0.0,0,0.0,0,0.0,4.0,0.0,49.0,0.0,0.0,,4,1,0,0,0,0,0.0,0.0,0,5.0,2.0,DF,22.0,1.de Bayern Munich,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
109,Vincent Janssen,2,0,0.0,,16.0,20.0,80.0,2.0,0.0,0,2.0,0,2.0,1.0,0.0,32.0,1.0,1.0,100.0,2,2,0,0,0,0,0.0,0.0,0,1.0,1.0,FW,27.0,1.be Antwerp,2,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
110,Wout Weghorst,2,2,1.0,1.0,9.0,15.0,60.0,0.0,0.0,0,1.0,0,0.0,1.0,0.0,22.0,0.0,0.0,,5,1,1,0,0,0,0.0,0.0,0,2.0,2.0,FW,29.0,1.tr Beşiktaş,4,0,64.0,0.7,2.0,2.81,0.0,0.0,2.0,2.81,0.0,1.0,0.0,Netherlands
111,Luuk de Jong,1,0,0.0,,8.0,12.0,66.7,2.0,0.0,1,0.0,0,2.0,1.0,0.0,19.0,0.0,1.0,0.0,1,1,1,0,0,1,0.0,0.0,0,3.0,3.0,FW,31.0,1.nl PSV Eindhoven,1,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
112,Xavi Simons,0,0,,,6.0,10.0,60.0,1.0,0.0,0,0.0,0,1.0,0.0,0.0,11.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,"FW,MF",19.0,1.nl PSV Eindhoven,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
113,Noa Lang,0,0,,,1.0,3.0,33.3,0.0,0.0,0,1.0,1,1.0,1.0,0.0,5.0,0.0,0.0,,0,0,0,1,1,0,0.0,0.0,0,0.0,0.0,MF,22.0,1.be Club Brugge,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Netherlands
114,Kenneth Taylor,0,0,,,8.0,8.0,100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,9.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,20.0,1.nl Ajax,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands
115,Jordan Pickford,0,0,,,126.0,160.0,78.8,0.0,0.0,0,0.0,0,0.0,2.0,0.0,169.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28.0,1.eng Everton,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
116,John Stones,4,1,0.0,0.0,435.0,454.0,95.8,2.0,2.0,2,3.0,1,3.0,8.0,0.0,475.0,2.0,2.0,100.0,4,3,0,0,1,2,0.0,1.0,0,6.0,4.0,DF,28.0,1.eng Manchester City,5,5,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
117,Harry Maguire,6,1,0.0,0.0,354.0,407.0,87.0,7.0,1.0,3,4.0,4,11.0,18.0,0.0,447.0,2.0,2.0,100.0,6,2,1,1,4,3,0.0,0.0,0,15.0,5.0,DF,29.0,1.eng Manchester Utd,5,5,429.0,4.8,0.0,0.0,1.0,0.21,0.0,0.0,0.0,1.0,0.0,England
118,Luke Shaw,3,1,0.0,0.0,335.0,400.0,83.8,3.0,1.0,1,2.0,4,7.0,5.0,0.0,420.0,2.0,2.0,100.0,5,4,0,22,4,1,0.0,0.0,0,3.0,9.0,DF,26.0,1.eng Manchester Utd,5,5,424.0,4.7,0.0,0.0,1.0,0.21,0.0,0.0,0.0,0.0,0.0,England
119,Declan Rice,0,0,,,300.0,322.0,93.2,6.0,0.0,5,4.0,11,17.0,5.0,0.0,360.0,0.0,3.0,0.0,3,2,0,4,11,5,0.0,0.0,0,3.0,3.0,MF,23.0,1.eng West Ham,5,5,417.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
120,Jude Bellingham,5,3,0.2,0.33,235.0,265.0,88.7,16.0,5.0,15,10.0,5,21.0,0.0,0.0,324.0,6.0,13.0,46.2,5,5,0,4,5,15,0.0,0.0,0,6.0,9.0,MF,18.0,1.de Dortmund,5,5,414.0,4.6,1.0,0.22,1.0,0.22,1.0,0.22,0.0,0.0,0.0,England
121,Harry Kane,10,5,0.1,0.2,62.0,98.0,63.3,2.0,1.0,1,2.0,0,2.0,5.0,0.0,142.0,4.0,8.0,50.0,1,9,0,6,0,1,0.0,0.0,0,9.0,13.0,FW,28.0,1.eng Tottenham,5,5,402.0,4.5,2.0,0.45,3.0,0.67,1.0,0.22,1.0,0.0,0.0,England
122,Bukayo Saka,7,5,0.43,0.6,84.0,108.0,77.8,7.0,1.0,4,5.0,2,9.0,2.0,0.0,150.0,2.0,11.0,18.2,7,6,2,5,2,4,1.0,0.0,0,1.0,1.0,FW,20.0,1.eng Arsenal,4,4,288.0,3.2,3.0,0.94,0.0,0.0,3.0,0.94,0.0,0.0,0.0,England
123,Jordan Henderson,2,1,0.5,1.0,137.0,163.0,84.0,4.0,2.0,2,3.0,1,5.0,0.0,0.0,178.0,0.0,2.0,0.0,5,4,0,8,1,2,0.0,0.0,0,2.0,2.0,MF,31.0,1.eng Liverpool,4,3,271.0,3.0,1.0,0.33,0.0,0.0,1.0,0.33,0.0,0.0,0.0,England
124,Phil Foden,6,1,0.17,1.0,90.0,117.0,76.9,1.0,0.0,1,2.0,1,2.0,0.0,0.0,144.0,3.0,6.0,50.0,2,4,0,14,1,1,0.0,0.0,0,3.0,5.0,"FW,MF",22.0,1.eng Manchester City,4,3,258.0,2.9,1.0,0.35,2.0,0.7,1.0,0.35,0.0,0.0,0.0,England
125,Kyle Walker,0,0,,,162.0,181.0,89.5,3.0,3.0,1,2.0,3,6.0,3.0,0.0,197.0,2.0,3.0,66.7,3,3,0,2,3,1,0.0,0.0,0,4.0,2.0,DF,32.0,1.eng Manchester City,3,3,236.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
126,Kieran Trippier,1,0,0.0,,165.0,195.0,84.6,6.0,5.0,4,3.0,1,7.0,4.0,0.0,207.0,1.0,1.0,100.0,1,0,0,10,1,4,0.0,0.0,0,4.0,1.0,DF,31.0,1.eng Newcastle Utd,3,2,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
127,Mason Mount,4,1,0.0,0.0,61.0,73.0,83.6,2.0,0.0,2,2.0,0,2.0,0.0,0.0,91.0,2.0,3.0,66.7,7,9,0,3,0,2,1.0,0.0,0,0.0,3.0,MF,23.0,1.eng Chelsea,4,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
128,Raheem Sterling,1,1,1.0,1.0,45.0,55.0,81.8,1.0,0.0,1,1.0,1,2.0,0.0,0.0,69.0,2.0,3.0,66.7,0,2,1,2,1,1,0.0,0.0,0,1.0,1.0,FW,27.0,1.eng Chelsea,3,2,149.0,1.7,1.0,0.6,1.0,0.6,1.0,0.6,0.0,0.0,0.0,England
129,Marcus Rashford,11,6,0.27,0.5,49.0,66.0,74.2,1.0,1.0,0,2.0,1,2.0,1.0,0.0,92.0,5.0,9.0,55.6,1,0,1,1,1,0,0.0,0.0,0,1.0,3.0,FW,24.0,1.eng Manchester Utd,5,1,140.0,1.6,3.0,1.93,0.0,0.0,3.0,1.93,0.0,0.0,0.0,England
130,Jack Grealish,1,1,1.0,1.0,48.0,54.0,88.9,3.0,0.0,1,2.0,3,6.0,1.0,0.0,72.0,3.0,9.0,33.3,0,10,0,0,3,1,0.0,0.0,0,0.0,2.0,FW,26.0,1.eng Manchester City,5,0,86.0,1.0,1.0,1.05,0.0,0.0,1.0,1.05,0.0,0.0,0.0,England
131,Callum Wilson,0,0,,,9.0,10.0,90.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0,2,0,0,0,0,0.0,0.0,0,1.0,0.0,FW,30.0,1.eng Newcastle Utd,2,0,48.0,0.5,0.0,0.0,1.0,1.87,0.0,0.0,0.0,0.0,0.0,England
132,Kalvin Phillips,0,0,,,17.0,19.0,89.5,0.0,0.0,0,0.0,0,0.0,1.0,0.0,20.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,0.0,2.0,MF,26.0,1.eng Manchester City,2,0,42.0,0.5,0.0,0.0,1.0,2.14,0.0,0.0,0.0,0.0,0.0,England
133,Eric Dier,0,0,,,40.0,41.0,97.6,1.0,0.0,1,0.0,0,1.0,0.0,0.0,44.0,0.0,0.0,,1,0,0,0,0,1,0.0,0.0,0,1.0,1.0,DF,28.0,1.eng Tottenham,2,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
134,Trent Alexander-Arnold,0,0,,,21.0,23.0,91.3,0.0,0.0,0,1.0,0,0.0,0.0,0.0,24.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,23.0,1.eng Liverpool,1,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,England
135,Marquinhos,2,0,0.0,,352.0,368.0,95.7,5.0,4.0,4,6.0,2,7.0,6.0,0.0,392.0,1.0,1.0,100.0,1,2,0,1,2,4,0.0,0.0,0,4.0,4.0,DF,28.0,1.fr Paris S-G,5,4,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
136,Casemiro,9,3,0.11,0.33,208.0,251.0,82.9,11.0,4.0,4,13.0,7,18.0,5.0,0.0,303.0,1.0,3.0,33.3,7,3,0,2,7,4,0.0,0.0,0,3.0,3.0,MF,30.0,1.eng Manchester Utd,4,4,390.0,4.3,1.0,0.23,0.0,0.0,1.0,0.23,0.0,1.0,0.0,Brazil
137,Thiago Silva,2,0,0.0,,322.0,344.0,93.6,3.0,0.0,1,3.0,5,8.0,6.0,0.0,369.0,0.0,1.0,0.0,2,3,0,1,5,1,0.0,0.0,0,6.0,4.0,DF,37.0,1.eng Chelsea,4,4,390.0,4.3,0.0,0.0,1.0,0.23,0.0,0.0,0.0,0.0,0.0,Brazil
138,Alisson,0,0,,,80.0,93.0,86.0,0.0,0.0,0,0.0,0,0.0,2.0,0.0,100.0,0.0,0.0,,0,1,0,0,0,0,0.0,0.0,0,1.0,0.0,GK,29.0,1.eng Liverpool,4,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
139,Éder Militão,5,1,0.0,0.0,251.0,277.0,90.6,7.0,3.0,6,1.0,3,10.0,5.0,0.0,307.0,0.0,0.0,,7,3,0,3,3,6,0.0,0.0,0,4.0,5.0,DF,24.0,1.es Real Madrid,4,4,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
140,Richarlison,8,4,0.38,0.75,40.0,58.0,69.0,2.0,0.0,2,4.0,1,3.0,4.0,0.0,99.0,0.0,5.0,0.0,5,6,1,2,1,2,1.0,0.0,0,4.0,8.0,FW,25.0,1.eng Tottenham,4,4,323.0,3.6,3.0,0.84,0.0,0.0,3.0,0.84,0.0,0.0,0.0,Brazil
141,Raphinha,8,6,0.0,0.0,111.0,150.0,74.0,8.0,6.0,6,3.0,3,11.0,0.0,0.0,194.0,4.0,15.0,26.7,2,5,0,22,3,6,0.0,0.0,0,0.0,6.0,FW,25.0,1.es Barcelona,5,4,315.0,3.5,0.0,0.0,1.0,0.29,0.0,0.0,0.0,0.0,0.0,Brazil
142,Lucas Paquetá,4,4,0.25,0.25,169.0,202.0,83.7,7.0,2.0,5,5.0,2,9.0,4.0,0.0,231.0,0.0,2.0,0.0,4,2,0,4,2,5,0.0,0.0,0,3.0,2.0,MF,24.0,1.eng West Ham,4,4,314.0,3.5,1.0,0.29,1.0,0.29,1.0,0.29,0.0,0.0,0.0,Brazil
143,Vinicius Júnior,9,4,0.11,0.25,68.0,90.0,75.6,3.0,0.0,1,5.0,0,3.0,0.0,0.0,135.0,5.0,15.0,33.3,0,7,3,12,0,1,0.0,0.0,0,0.0,0.0,FW,21.0,1.es Real Madrid,4,4,299.0,3.3,1.0,0.3,2.0,0.6,1.0,0.3,0.0,0.0,0.0,Brazil
144,Danilo,2,0,0.0,,230.0,269.0,85.5,5.0,2.0,2,2.0,3,8.0,5.0,1.0,291.0,1.0,1.0,100.0,3,1,0,8,3,2,0.0,0.0,0,4.0,1.0,DF,30.0,1.it Juventus,3,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
145,Neymar,11,6,0.09,0.17,121.0,153.0,79.1,1.0,0.0,0,2.0,1,2.0,0.0,0.0,209.0,6.0,23.0,26.1,4,16,2,8,1,0,0.0,0.0,0,0.0,3.0,MF,30.0,1.fr Paris S-G,3,3,279.0,3.1,2.0,0.65,0.0,0.0,1.0,0.32,1.0,0.0,0.0,Brazil
146,Alex Sandro,1,0,0.0,,150.0,169.0,88.8,8.0,2.0,3,1.0,3,11.0,9.0,0.0,195.0,1.0,2.0,50.0,3,2,0,4,3,3,0.0,0.0,0,3.0,1.0,DF,31.0,1.it Juventus,3,2,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
147,Fred,3,1,0.0,0.0,71.0,83.0,85.5,3.0,1.0,3,1.0,0,3.0,3.0,0.0,98.0,0.0,0.0,,3,0,0,0,0,3,0.0,0.0,0,0.0,2.0,MF,29.0,1.eng Manchester Utd,4,2,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
148,Rodrygo,6,2,0.0,0.0,91.0,113.0,80.5,4.0,0.0,1,6.0,2,6.0,1.0,0.0,153.0,2.0,9.0,22.2,3,6,1,9,2,1,0.0,0.0,0,0.0,3.0,"MF,FW",21.0,1.es Real Madrid,5,1,181.0,2.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,Brazil
149,Antony,6,2,0.0,0.0,86.0,109.0,78.9,3.0,1.0,0,3.0,1,4.0,1.0,0.0,148.0,4.0,16.0,25.0,2,5,0,10,1,0,0.0,0.0,0,1.0,2.0,FW,22.0,1.eng Manchester Utd,4,1,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
150,Dani Alves,3,0,0.0,,83.0,97.0,85.6,5.0,2.0,4,1.0,2,7.0,2.0,0.0,113.0,1.0,2.0,50.0,5,2,0,6,2,4,0.0,0.0,0,1.0,1.0,DF,39.0,1.mx UNAM,2,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
