,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
16,Gonzalo Montiel,1,0,0.0,,69.0,81.0,85.2,3.0,2.0,2,1.0,1,4.0,1.0,0.0,95.0,0.0,1.0,0.0,4,2,1,3,1,2,0.0,1.0,0,1.0,2.0,"DF,MF",25.0,1.es Sevilla,4,1,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Argentina
17,Guido Rodríguez,0,0,,,54.0,64.0,84.4,2.0,2.0,0,1.0,0,2.0,1.0,0.0,68.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,MF,28.0,1.es Betis,1,1,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
18,Germán Pezzella,1,0,0.0,,42.0,45.0,93.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,47.0,0.0,0.0,,2,2,0,0,0,0,0.0,0.0,0,0.0,6.0,DF,30.0,1.es Betis,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Argentina
19,Exequiel Palacios,1,0,0.0,,25.0,28.0,89.3,0.0,0.0,0,0.0,2,2.0,1.0,0.0,34.0,0.0,1.0,0.0,2,3,0,0,2,0,0.0,0.0,0,0.0,1.0,"MF,DF",23.0,1.de Leverkusen,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
20,Paulo Dybala,0,0,,,8.0,12.0,66.7,3.0,0.0,1,0.0,0,3.0,1.0,0.0,20.0,1.0,2.0,50.0,1,0,0,0,0,1,0.0,0.0,0,3.0,1.0,FW,28.0,1.it Roma,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
21,Thiago Almada,0,0,,,13.0,13.0,100.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,15.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,MF,21.0,1.us Atlanta Utd,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
22,Ángel Correa,0,0,,,3.0,3.0,100.0,1.0,0.0,1,0.0,0,1.0,1.0,0.0,6.0,0.0,0.0,,0,1,0,0,0,1,0.0,0.0,0,0.0,0.0,MF,27.0,1.es Atlético Madrid,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
23,Juan Foyth,0,0,,,3.0,4.0,75.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5.0,1.0,1.0,100.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,24.0,1.es Villarreal,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina
24,Aurélien Tchouaméni,6,2,0.17,0.5,424.0,474.0,89.5,11.0,3.0,4,3.0,14,25.0,6.0,0.0,532.0,3.0,5.0,60.0,8,10,0,3,14,4,0.0,1.0,0,5.0,2.0,MF,22.0,1.es Real Madrid,7,7,621.0,6.9,1.0,0.14,0.0,0.0,1.0,0.14,0.0,1.0,0.0,France
25,Kylian Mbappé,29,11,0.21,0.55,173.0,229.0,75.5,0.0,0.0,0,0.0,0,0.0,0.0,0.0,322.0,25.0,52.0,48.1,7,7,6,25,0,0,0.0,0.0,0,1.0,4.0,FW,23.0,1.fr Paris S-G,7,6,598.0,6.6,8.0,1.2,2.0,0.3,6.0,0.9,2.0,0.0,0.0,France
